LoanDuration,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Risk
31,other,1889,26175,less_1,3,none,3,savings_insurance,32,none,own,528,skilled,No Risk
18,car_new,462,35803,1_to_4,2,none,2,savings_insurance,37,stores,own,439,skilled,No Risk
15,furniture,250,32499,1_to_4,2,none,3,real_estate,28,none,own,349,skilled,No Risk
28,retraining,3693,30461,greater_7,3,none,2,savings_insurance,32,none,own,406,skilled,No Risk
28,education,6235,35756,greater_7,3,none,3,unknown,57,none,own,540,skilled,Risk
32,vacation,9604,31714,greater_7,6,co-applicant,5,unknown,57,none,free,601,skilled,Risk
9,car_new,1032,30710,4_to_7,3,none,4,savings_insurance,41,none,own,272,management_self-employed,No Risk
16,vacation,3109,34030,4_to_7,3,none,1,car_other,36,none,own,579,skilled,No Risk
11,car_new,4553,33090,less_1,3,none,3,savings_insurance,22,none,own,542,management_self-employed,No Risk
35,appliances,7138,38652,greater_7,5,co-applicant,4,unknown,49,none,free,512,skilled,Risk
5,car_new,1523,30666,unemployed,2,none,2,real_estate,19,none,rent,412,management_self-employed,No Risk
9,car_used,4302,38061,1_to_4,3,none,1,car_other,34,none,free,613,skilled,No Risk
27,furniture,3310,22002,greater_7,5,none,3,car_other,40,none,free,317,skilled,No Risk
29,furniture,3705,22418,less_1,3,co-applicant,3,car_other,44,none,own,308,skilled,No Risk
4,car_new,2407,23460,1_to_4,3,none,2,car_other,52,none,own,399,skilled,No Risk
33,furniture,3810,20473,less_1,2,co-applicant,4,savings_insurance,35,none,own,595,skilled,Risk
4,car_new,250,30873,1_to_4,2,none,1,real_estate,26,none,own,245,skilled,No Risk
39,repairs,7150,36383,4_to_7,3,co-applicant,4,unknown,52,none,own,553,skilled,Risk
4,car_new,250,30793,1_to_4,2,none,2,real_estate,28,none,own,215,skilled,No Risk
13,vacation,2317,24927,less_1,2,none,2,savings_insurance,27,stores,own,248,skilled,No Risk
15,furniture,250,37798,4_to_7,3,none,2,savings_insurance,24,none,own,634,skilled,No Risk
16,car_new,5551,35258,1_to_4,3,none,3,car_other,34,none,rent,602,management_self-employed,No Risk
34,furniture,6063,28934,1_to_4,4,none,5,car_other,40,none,own,570,skilled,No Risk
13,radio_tv,1045,36030,less_1,2,none,1,real_estate,24,none,rent,246,skilled,No Risk
15,vacation,250,20498,4_to_7,2,none,2,real_estate,19,stores,rent,502,skilled,No Risk
33,repairs,3946,30195,4_to_7,2,none,2,car_other,33,stores,own,438,unskilled,No Risk
23,car_used,250,38469,1_to_4,2,none,3,real_estate,19,stores,rent,247,skilled,No Risk
9,furniture,292,25413,less_1,2,none,3,car_other,51,none,rent,423,skilled,No Risk
10,radio_tv,4312,27893,less_1,3,none,3,car_other,38,none,own,660,skilled,No Risk
25,radio_tv,6945,22272,1_to_4,4,none,4,unknown,46,none,own,479,management_self-employed,Risk
20,appliances,2827,25337,4_to_7,3,co-applicant,3,savings_insurance,31,none,own,647,skilled,No Risk
26,appliances,4391,37620,greater_7,4,none,3,car_other,39,stores,own,437,unskilled,Risk
21,car_used,319,22401,greater_7,3,none,3,savings_insurance,32,none,rent,221,skilled,Risk
28,furniture,3519,37117,4_to_7,4,none,2,savings_insurance,39,none,own,347,skilled,No Risk
7,car_new,250,28236,less_1,1,none,2,real_estate,31,none,own,587,skilled,No Risk
15,car_used,1420,31390,4_to_7,2,none,3,car_other,35,stores,rent,336,skilled,No Risk
14,car_new,1683,36698,1_to_4,3,co-applicant,4,savings_insurance,35,none,own,537,skilled,No Risk
28,car_used,4904,27510,1_to_4,2,none,3,car_other,40,none,own,300,skilled,Risk
28,repairs,3789,24709,4_to_7,4,none,4,car_other,29,none,own,479,skilled,Risk
64,retraining,9918,28219,4_to_7,6,co-applicant,5,unknown,49,none,free,667,skilled,Risk
6,car_used,3115,35009,1_to_4,2,co-applicant,2,real_estate,27,none,own,540,skilled,Risk
10,car_new,1400,23415,less_1,1,none,1,car_other,28,stores,own,208,skilled,No Risk
7,car_new,250,30530,less_1,2,none,1,real_estate,22,none,rent,294,skilled,No Risk
31,furniture,7685,39977,4_to_7,4,none,4,unknown,51,none,free,245,skilled,Risk
4,car_new,250,22411,1_to_4,2,none,1,real_estate,19,stores,own,330,skilled,No Risk
25,radio_tv,3818,32583,1_to_4,2,none,4,savings_insurance,36,none,rent,600,skilled,Risk
19,car_used,1897,38581,unemployed,1,none,3,savings_insurance,19,none,rent,642,skilled,No Risk
39,appliances,4131,27037,1_to_4,4,none,4,unknown,29,bank,own,353,unskilled,No Risk
35,repairs,3541,32366,greater_7,5,none,4,car_other,45,none,own,257,skilled,Risk
17,repairs,3861,25673,1_to_4,3,none,3,real_estate,25,none,own,618,skilled,No Risk
38,other,6086,20486,greater_7,4,co-applicant,5,unknown,44,stores,rent,557,unskilled,Risk
26,radio_tv,6402,32532,4_to_7,4,none,4,unknown,52,none,free,411,skilled,No Risk
8,car_new,250,38127,1_to_4,3,none,3,real_estate,46,none,own,632,management_self-employed,No Risk
30,appliances,7650,26358,1_to_4,4,none,4,unknown,59,none,free,501,management_self-employed,Risk
28,appliances,5990,37767,greater_7,5,co-applicant,3,car_other,55,none,free,349,skilled,Risk
22,car_used,3376,25114,less_1,3,none,2,car_other,32,none,own,326,skilled,No Risk
39,vacation,6434,32303,greater_7,5,none,4,car_other,39,none,own,220,skilled,Risk
20,furniture,2442,25830,unemployed,3,none,1,real_estate,42,none,own,693,skilled,No Risk
4,education,4206,34692,unemployed,1,none,3,savings_insurance,27,none,own,346,management_self-employed,No Risk
23,car_used,2963,27162,greater_7,4,none,4,car_other,46,none,own,269,skilled,Risk
31,vacation,2673,28158,1_to_4,3,none,2,real_estate,35,stores,rent,414,skilled,Risk
37,other,6971,38064,1_to_4,3,none,3,savings_insurance,54,none,own,247,skilled,Risk
14,car_new,1525,37742,4_to_7,3,none,4,real_estate,33,none,own,496,skilled,No Risk
10,furniture,4037,26609,4_to_7,3,none,3,savings_insurance,31,none,rent,669,skilled,Risk
28,retraining,1152,23695,less_1,2,none,2,savings_insurance,20,stores,own,344,skilled,No Risk
17,car_new,1880,27974,less_1,3,co-applicant,2,savings_insurance,41,none,own,430,skilled,No Risk
39,appliances,5685,39266,1_to_4,4,none,2,unknown,37,none,own,211,skilled,Risk
32,radio_tv,5105,39850,1_to_4,4,none,5,savings_insurance,44,none,own,344,management_self-employed,Risk
38,appliances,4990,35659,greater_7,4,none,4,car_other,50,bank,own,573,unemployed,Risk
17,furniture,1017,31697,less_1,2,none,1,car_other,30,none,own,359,skilled,No Risk
33,car_new,3618,38258,4_to_7,2,none,3,unknown,31,stores,own,520,unskilled,No Risk
12,car_new,3037,29584,less_1,1,none,2,car_other,31,stores,own,301,skilled,No Risk
23,furniture,1440,25003,1_to_4,3,none,3,real_estate,39,stores,own,567,unskilled,No Risk
18,retraining,4032,29717,1_to_4,2,none,2,car_other,36,none,rent,381,skilled,No Risk
11,car_used,944,32782,1_to_4,3,none,4,real_estate,35,none,own,571,management_self-employed,No Risk
36,appliances,5927,31094,greater_7,4,co-applicant,3,savings_insurance,47,none,own,551,skilled,Risk
50,other,4694,20211,greater_7,4,none,4,unknown,37,none,own,478,skilled,Risk
32,radio_tv,10584,27185,1_to_4,3,co-applicant,3,unknown,46,stores,own,359,unskilled,No Risk
41,furniture,8900,24323,4_to_7,4,co-applicant,3,car_other,26,none,free,362,skilled,Risk
14,car_used,1144,36699,less_1,2,none,2,real_estate,33,none,rent,491,skilled,No Risk
14,appliances,1680,23148,greater_7,4,none,3,car_other,47,none,own,270,management_self-employed,No Risk
23,retraining,3387,33629,less_1,3,none,3,savings_insurance,28,none,own,444,skilled,No Risk
14,furniture,1269,22327,greater_7,2,none,2,savings_insurance,39,none,own,469,skilled,No Risk
36,appliances,9570,24427,4_to_7,4,co-applicant,3,car_other,53,none,free,241,skilled,No Risk
16,car_new,1428,29659,4_to_7,1,none,1,car_other,20,bank,rent,391,unemployed,No Risk
24,car_used,4620,28569,1_to_4,3,none,4,savings_insurance,40,none,own,352,skilled,No Risk
34,furniture,2196,38873,greater_7,3,none,4,savings_insurance,27,none,own,604,skilled,No Risk
25,car_used,8708,28866,1_to_4,4,none,5,car_other,43,none,free,269,management_self-employed,No Risk
37,radio_tv,10550,20500,greater_7,5,co-applicant,4,unknown,48,stores,own,599,unemployed,Risk
27,radio_tv,4981,35409,4_to_7,4,none,4,savings_insurance,47,none,own,547,management_self-employed,No Risk
13,car_new,2436,24940,less_1,2,none,1,savings_insurance,19,stores,own,372,skilled,No Risk
25,appliances,4136,31264,4_to_7,3,none,2,car_other,46,bank,own,521,unemployed,No Risk
15,retraining,4014,32645,1_to_4,4,co-applicant,4,savings_insurance,33,none,own,318,skilled,Risk
28,appliances,5440,32844,4_to_7,3,none,2,unknown,40,none,own,633,skilled,Risk
13,appliances,250,26311,4_to_7,2,none,3,car_other,28,stores,own,551,skilled,No Risk
19,furniture,2111,24093,4_to_7,3,none,2,savings_insurance,34,bank,own,555,unemployed,No Risk
27,appliances,6455,21141,4_to_7,3,none,4,car_other,43,none,own,472,skilled,Risk
17,car_used,250,21730,4_to_7,3,none,2,real_estate,40,none,free,537,skilled,No Risk
27,radio_tv,4521,33764,less_1,4,none,4,savings_insurance,28,none,own,350,management_self-employed,No Risk
37,other,7945,34611,1_to_4,4,none,4,savings_insurance,39,none,own,313,management_self-employed,No Risk
6,car_used,250,38475,1_to_4,2,none,2,savings_insurance,28,stores,rent,626,skilled,Risk
14,appliances,1431,22113,unemployed,1,none,1,car_other,25,stores,own,464,skilled,Risk
5,car_used,250,26227,4_to_7,3,none,2,savings_insurance,42,none,rent,699,skilled,No Risk
11,furniture,2016,33985,less_1,1,none,1,car_other,34,bank,own,412,unemployed,No Risk
4,car_new,250,36830,unemployed,1,none,1,real_estate,29,none,rent,675,skilled,No Risk
16,radio_tv,1923,32731,less_1,3,none,2,car_other,46,none,rent,438,skilled,Risk
5,car_used,2528,24506,1_to_4,2,none,2,real_estate,23,none,rent,566,skilled,No Risk
29,vacation,7083,24469,4_to_7,4,none,4,unknown,49,none,own,264,skilled,Risk
43,repairs,8886,31269,greater_7,5,co-applicant,4,car_other,35,none,free,530,skilled,No Risk
24,radio_tv,4393,27756,less_1,3,none,3,real_estate,41,none,own,450,management_self-employed,No Risk
